BC_category,Code_category,Code
Pill,NDC,68462073384
Pill,NDC,00378729953
Pill,NDC,60505418303
Pill,NDC,68180090211
Pill,NDC,68462073329
Pill,NDC,75834011584
Pill,NDC,16714034001
Pill,NDC,16714034004
Ring,NDC,54569586500
Ring,NDC,00052027301
Ring,NDC,35356041003
Ring,NDC,54868483201
Ring,NDC,00052027303
Ring,NDC,54868483200
Ring,NDC,50090100800
Ring,NDC,50261031301
Ring,NDC,65162046935
Patch,NDC,00378334053
Patch,NDC,54569656200
Patch,NDC,00378334016
Patch,NDC,50458019201
Patch,NDC,00062192015
Patch,NDC,54569541300
Patch,NDC,00062192001
Patch,NDC,50458019215
Patch,NDC,54868467000
Shot,NDC,00009074635
Shot,NDC,54868410000
Shot,NDC,00009737604
Shot,NDC,00009737611
Shot,NDC,54868410001
Shot,NDC,54569490400
Shot,NDC,00009074630
Shot,NDC,00009737601
Shot,NDC,00009737607
Shot,NDC,00009737603
Implant,NDC,00052027201
Implant,NDC,00052027401
Implant,NDC,00052433001
LNG&Copper,NDC,50419042101
LNG&Copper,NDC,50419042301
LNG&Copper,NDC,50419042308
LNG&Copper,NDC,00023585801
LNG&Copper,NDC,52544003554
LNG&Copper,NDC,50419042401
LNG&Copper,NDC,50419042201
LNG&Copper,NDC,51285020402
LNG&Copper,NDC,59365512801
LNG&Copper,NDC,51285020401
Pill,ICD9,V25.01
Pill,ICD9,V25.41
Pill,ICD10,Z30.011
Pill,ICD10,Z30.41
Pill,HCPCS,S4993
Ring,ICD10,Z30.015
Ring,HPCS,J7303
Patch,ICD10,Z30.016
Patch,HPCS,J7304
Shot,ICD10,Z30.013
Shot,ICD10,Z30.42
Shot,HCPCS,J1050
Shot,HCPCS,J1051
Shot,HCPCS,J1055
Implant,ICD9,V25.5
Implant,ICD9,V25.43
Implant,ICD10,Z30.017
Implant,ICD10,Z30.46
Implant,CPT,11981
Implant,CPT,11982
Implant,CPT,11983
Implant,HCPCS,J7307
Implant,HCPCS,J7306
LNG&Copper,ICD9,V25.11
LNG&Copper,ICD9,V25.42
LNG&Copper,ICD9,V25.13
LNG&Copper,ICD9,V45.51
LNG&Copper,ICD10,Z30.014
LNG&Copper,ICD10,Z30.430
LNG&Copper,ICD10,Z30.43
LNG&Copper,ICD10,Z30.431
LNG&Copper,ICD10,Z30.433
LNG&Copper,CPT,58300
LNG&Copper,HCPCS,J7296
LNG&Copper,HCPCS,J7297
LNG&Copper,HCPCS,J7298
LNG&Copper,HCPCS,J7301
LNG&Copper,ICD9,V25.11
LNG&Copper,ICD9,V25.42
LNG&Copper,ICD9,V25.13
LNG&Copper,ICD9,V45.51
LNG&Copper,ICD10,Z30.014
LNG&Copper,ICD10,Z30.430
LNG&Copper,ICD10,Z30.43
LNG&Copper,ICD10,Z30.431
LNG&Copper,ICD10,Z30.433
LNG&Copper,CPT,58300
LNG&Copper,HCPCS,J7300
LNG&Copper,ICD9,V25.12
LNG&Copper,ICD10,Z30.432
LNG&Copper,CPT,58301
